episode_id,deminf_score,num_timestep_samples,raw_score_mean,normalized_score_mean,rank
157,0.27655090051662645,182,-7.130823627933041,0.27655090051662645,81
10,0.2759798761321457,179,-7.131296930366388,0.2759798761321457,82
281,0.27553048104447614,173,-7.1272925283178425,0.27553048104447614,83
252,0.27272665030332227,170,-7.133993417141484,0.27272665030332227,84
123,0.2726532634079143,171,-7.134011527948212,0.2726532634079143,85
260,0.2715561903479421,188,-7.133840992941079,0.2715561903479421,86
209,0.265464532662293,162,-7.140012736183135,0.265464532662293,87
53,0.2646396743783786,165,-7.138899480453646,0.2646396743783786,88
187,0.26318704536972004,182,-7.1419004669119595,0.26318704536972004,89
156,0.2603034941218295,169,-7.144290543166844,0.2603034941218295,90
2,0.25880511902813763,157,-7.145532494644197,0.25880511902813763,91
345,0.25418040675285153,170,-7.14494104759366,0.25418040675285153,92
321,0.25113489687900464,156,-7.149486623258672,0.25113489687900464,93
376,0.2506011304070641,190,-7.150332731949655,0.2506011304070641,94
64,0.2502502733841994,158,-7.1526233113767725,0.2502502733841994,95
302,0.24730851844932167,194,-7.147176729444785,0.24730851844932167,96
389,0.24715012940130873,167,-7.155192913885363,0.24715012940130873,97
75,0.24700041825841654,194,-7.146871991993225,0.24700041825841654,98
195,0.24693597822955954,166,-7.155370416411435,0.24693597822955954,99
151,0.24626116797014863,184,-7.155929743379786,0.24626116797014863,100
224,0.2441527548223338,175,-7.157677334376744,0.2441527548223338,101
48,0.2441363700097309,181,-7.1577563224356915,0.2441363700097309,102
145,0.24366280396005197,183,-7.155291304562261,0.24366280396005197,103
183,0.24156247311040455,146,-7.157242147889856,0.24156247311040455,104
69,0.23957367123845574,181,-7.161472778952583,0.23957367123845574,105
73,0.23919848604069668,162,-7.161783757033171,0.23919848604069668,106
68,0.2389506299534657,183,-7.161989196402128,0.2389506299534657,107
79,0.23842153805395394,191,-7.162427742443784,0.23842153805395394,108
59,0.2368235436965675,177,-7.163752264895682,0.2368235436965675,109
28,0.23657299385766645,174,-7.164207943554582,0.23657299385766645,110
109,0.23438588739757144,182,-7.165772754194099,0.23438588739757144,111
102,0.23298113309149898,180,-7.166937106627005,0.23298113309149898,112
158,0.23265827070193343,169,-7.165863893911448,0.23265827070193343,113
393,0.23032465132344973,198,-7.169321060983421,0.23032465132344973,114
15,0.22980283053826106,156,-7.168373322894431,0.22980283053826106,115
83,0.2253307285637985,195,-7.173278263287666,0.2253307285637985,116
23,0.22412056850633957,160,-7.165824728210767,0.22412056850633957,117
356,0.22334249964232789,183,-7.153956998675681,0.22334249964232789,118
257,0.22238157010019338,184,-7.175722719102667,0.22238157010019338,119
391,0.22177807054546683,188,-7.171383583799321,0.22177807054546683,120
288,0.22104598383025867,194,-7.146807437909838,0.22104598383025867,121
218,0.22037344788193397,196,-7.177387182404395,0.22037344788193397,122
62,0.21755457841949605,169,-7.177690356440798,0.21755457841949605,123
291,0.21629039571199862,172,-7.179090452748675,0.21629039571199862,124
372,0.21351277784578185,177,-7.177597699641283,0.21351277784578185,125
121,0.21255522804836666,191,-7.183867435388748,0.21255522804836666,126
196,0.20589558174147116,173,-7.189387386704226,0.20589558174147116,127
188,0.20331739652313927,183,-7.193130229123086,0.20331739652313927,128
330,0.19973460822855824,186,-7.194287525710239,0.19973460822855824,129
58,0.19748388245405862,178,-7.194309506076999,0.19748388245405862,130
5,0.19423038461754366,181,-7.192358498195697,0.19423038461754366,131
324,0.19388810773368123,194,-7.178227838372037,0.19388810773368123,132
191,0.1929559402106889,168,-7.200112609636216,0.1929559402106889,133
232,0.19040540676239107,158,-7.2022266589136565,0.19040540676239107,134
91,0.18995973771068037,171,-7.20266400814986,0.18995973771068037,135
340,0.18981310797715484,199,-7.2027175949646205,0.18981310797715484,136
383,0.18940080391053882,174,-7.202881190055175,0.18940080391053882,137
366,0.18928619436228467,199,-7.202641033447367,0.18928619436228467,138
374,0.18690846628310417,170,-7.205125152363497,0.18690846628310417,139
198,0.18619314931718994,175,-7.190827307928177,0.18619314931718994,140
160,0.1838958956974237,171,-7.208785677049128,0.1838958956974237,141
355,0.18206796375431714,175,-7.207291188921247,0.18206796375431714,142
113,0.17538676876733375,146,-7.21546615748645,0.17538676876733375,143
115,0.17502471417356819,169,-7.214975184942844,0.17502471417356819,144
289,0.17300997787524905,193,-7.2166451304275965,0.17300997787524905,145
371,0.17276498113525948,184,-7.216848199782164,0.17276498113525948,146
343,0.1696999966496731,160,-7.219388659795125,0.1696999966496731,147
111,0.16142765514533458,167,-7.226245318582197,0.16142765514533458,148
124,0.1591227098736263,154,-7.229982863256942,0.1591227098736263,149
397,0.15894682695118878,193,-7.215267190455567,0.15894682695118878,150
384,0.1554648540372092,175,-7.231417781284877,0.1554648540372092,151
177,0.1509311591250936,164,-7.2339011760261975,0.1509311591250936,152
190,0.14948699284869815,188,-7.236142522054362,0.14948699284869815,153
305,0.14645338623819462,168,-7.238656974028027,0.14645338623819462,154
304,0.14313891602274822,165,-7.241404224164558,0.14313891602274822,155
63,0.13944225221201842,146,-7.245441295240568,0.13944225221201842,156
205,0.13867985344990177,200,-7.245100187460581,0.13867985344990177,157
104,0.13724851615379918,153,-7.2391195141412075,0.13724851615379918,158
98,0.1300391225813292,184,-7.252262191496034,0.1300391225813292,159
40,0.12915304335399583,168,-7.252996632031032,0.12915304335399583,160
350,0.12723232995736636,176,-7.2555245730009945,0.12723232995736636,161
18,0.12693134581858392,186,-7.254838120552801,0.12693134581858392,162
395,0.12503451666400572,178,-7.229299400629622,0.12503451666400572,163
339,0.12318565467749815,189,-7.2579392495399215,0.12318565467749815,164
90,0.12225572716995303,171,-7.257085724880821,0.12225572716995303,165
259,0.12020957604481909,196,-7.2597223723015825,0.12020957604481909,166
101,0.11987726237918221,182,-7.26068500721411,0.11987726237918221,167
285,0.11802212173223664,163,-7.262222669363509,0.11802212173223664,168
153,0.11607827859378374,180,-7.259944000067534,0.11607827859378374,169
131,0.11431301787224385,179,-7.265297017727928,0.11431301787224385,170
93,0.11298984055297381,185,-7.232566566295453,0.11298984055297381,171
152,0.1098267562065154,164,-7.269015525414692,0.1098267562065154,172
106,0.10947079318024446,179,-7.268987354619543,0.10947079318024446,173
112,0.10914807338382139,187,-7.268692933726863,0.10914807338382139,174
292,0.10606100132666406,156,-7.272136829857134,0.10606100132666406,175
201,0.1050510622558206,189,-7.272973933547893,0.1050510622558206,176
270,0.10396920375361351,170,-7.275010096793081,0.10396920375361351,177
43,0.10381001929316579,166,-7.274002591290148,0.10381001929316579,178
286,0.10181103780919329,180,-7.27565947815224,0.10181103780919329,179
171,0.08555271940037804,171,-7.291120628632068,0.08555271940037804,180
26,0.0827035762832727,198,-7.291496994519474,0.0827035762832727,181
185,0.07789414755264569,159,-7.295483364249176,0.07789414755264569,182
320,0.07623366580802483,156,-7.2974298438455305,0.07623366580802483,183
