model_a,model_b,denoise_index,count,v_t_l2_mean,v_t_l2_std,v_t_cosine_mean,v_t_cosine_std,x_t_l2_mean,x_t_l2_std,hidden_cosine_mean,hidden_cosine_std
ours_v1_corner_12k,ours_v4_corner_12k,8,10,14.273338413238525,1.7749415652544807,0.851149958372116,0.031051867582601898,8.680713558197022,1.190022878949009,0.8532613933086395,0.024247460535388995
ours_v1_corner_12k,ours_v4_corner_12k,9,10,16.85925817489624,1.4613125300632008,0.8408053636550903,0.02107170759039055,9.920508432388306,1.3858040109610297,0.826187151670456,0.029119280249462563
ours_v1_corner_12k,random_corner_12k,0,10,9.127348852157592,0.9554709631664846,0.9115474164485932,0.02046671546643772,0.0,0.0,0.9372646987438202,0.007709450717011636
ours_v1_corner_12k,random_corner_12k,1,10,9.348521661758422,1.013967194006744,0.9063611149787902,0.022308795786903982,0.9127349019050598,0.09554704628634318,0.9330261647701263,0.008476565406425114
ours_v1_corner_12k,random_corner_12k,2,10,9.578818798065186,1.0606299550693135,0.902890944480896,0.023479896438387087,1.8447457671165466,0.19693993285803707,0.9285022795200348,0.009185296996128915
ours_v1_corner_12k,random_corner_12k,3,10,9.758674335479736,1.1094953595722996,0.8997059285640716,0.024886773942878828,2.7984151601791383,0.30289937104922426,0.923071163892746,0.010199263798151208
ours_v1_corner_12k,random_corner_12k,4,10,9.995207786560059,1.1774278881849536,0.8967767775058746,0.026564205425341384,3.766046071052551,0.41376298890697766,0.9161765515804291,0.011468342806744228
ours_v1_corner_12k,random_corner_12k,5,10,10.390043258666992,1.2215528176045862,0.8915058374404907,0.02736367816133992,4.749240159988403,0.5316255726178961,0.9070396602153779,0.012795996074571691
ours_v1_corner_12k,random_corner_12k,6,10,10.961895370483399,1.2191054147660383,0.884299236536026,0.02725894387702044,5.763082885742188,0.6557034717475815,0.8942697465419769,0.014468105721551975
ours_v1_corner_12k,random_corner_12k,7,10,11.645805263519287,1.2014984377182996,0.876025938987732,0.02605234639794994,6.80902214050293,0.7838580862812918,0.8772999167442321,0.01648224418946269
ours_v1_corner_12k,random_corner_12k,8,10,12.943227195739746,1.2514653698279725,0.8612453043460846,0.024849938988983234,7.889248275756836,0.9167977853603212,0.85231693983078,0.02012893678565941
ours_v1_corner_12k,random_corner_12k,9,10,14.621277046203613,1.4291224264092954,0.8558577358722687,0.023300768012241575,9.027493667602538,1.0586345694847992,0.8172695994377136,0.026900587496510954
ours_v1_corner_12k,uniform_corner_12k,0,10,9.721190404891967,1.0469319206426384,0.8976728856563568,0.021139106868751284,0.0,0.0,0.9322189927101135,0.007674514186287135
