model_name,layer,denoise_index,count,x_t_norm_mean,x_t_norm_std,v_t_norm_mean,v_t_norm_std,suffix_hidden_norm_mean,suffix_hidden_norm_std
ours_v1_corner_12k,11,9,10,36.6725959777832,0.534821321889572,26.878529930114745,0.585934917954037,189.73572235107423,0.009347654361182666
ours_v2_corner_12k,3,0,10,40.152682876586915,0.7227868328816696,20.689805603027345,0.7111811810628095,189.73888549804687,0.00512370142680092
ours_v2_corner_12k,3,1,10,39.403391647338864,0.709243289125679,20.6427640914917,0.7058878071775256,189.73772583007812,0.002555755613594566
ours_v2_corner_12k,3,2,10,38.76851959228516,0.6950391049563072,20.844721794128418,0.7044989941973593,189.73301544189454,0.004095007847414107
ours_v2_corner_12k,3,3,10,38.20679473876953,0.6770324410139125,21.09515800476074,0.6852603980321237,189.73712921142578,0.002917033923463221
ours_v2_corner_12k,3,4,10,37.7142219543457,0.6549869815843835,21.371130180358886,0.6873815048467513,189.7356750488281,0.005437483131174252
ours_v2_corner_12k,3,5,10,37.29781150817871,0.6300576220405937,21.71168632507324,0.6823634319847848,189.73604888916014,0.003711105957725091
ours_v2_corner_12k,3,6,10,36.946699905395505,0.6017229787333854,22.248217010498045,0.6651789512127368,189.7376678466797,0.00607717858965549
ours_v2_corner_12k,3,7,10,36.64597434997559,0.5724632388804556,22.974129486083985,0.7029912269463056,189.73651580810548,0.006061666258341185
ours_v2_corner_12k,3,8,10,36.36993942260742,0.5437150345963353,24.053193664550783,0.8483523473166431,189.73509674072267,0.003733717180615642
ours_v2_corner_12k,3,9,10,36.03755874633789,0.5240332012685599,26.537734603881837,0.953067202515146,189.73533325195314,0.004047037049587567
ours_v2_corner_12k,7,0,10,40.152682876586915,0.7227868328816696,20.689805603027345,0.7111811810628095,189.73888549804687,0.00512370142680092
ours_v2_corner_12k,7,1,10,39.403391647338864,0.709243289125679,20.6427640914917,0.7058878071775256,189.73772583007812,0.002555755613594566
ours_v2_corner_12k,7,2,10,38.76851959228516,0.6950391049563072,20.844721794128418,0.7044989941973593,189.73301544189454,0.004095007847414107
ours_v2_corner_12k,7,3,10,38.20679473876953,0.6770324410139125,21.09515800476074,0.6852603980321237,189.73712921142578,0.002917033923463221
ours_v2_corner_12k,7,4,10,37.7142219543457,0.6549869815843835,21.371130180358886,0.6873815048467513,189.7356750488281,0.005437483131174252
ours_v2_corner_12k,7,5,10,37.29781150817871,0.6300576220405937,21.71168632507324,0.6823634319847848,189.73604888916014,0.003711105957725091
ours_v2_corner_12k,7,6,10,36.946699905395505,0.6017229787333854,22.248217010498045,0.6651789512127368,189.7376678466797,0.00607717858965549
ours_v2_corner_12k,7,7,10,36.64597434997559,0.5724632388804556,22.974129486083985,0.7029912269463056,189.73651580810548,0.006061666258341185
ours_v2_corner_12k,7,8,10,36.36993942260742,0.5437150345963353,24.053193664550783,0.8483523473166431,189.73509674072267,0.003733717180615642
ours_v2_corner_12k,7,9,10,36.03755874633789,0.5240332012685599,26.537734603881837,0.953067202515146,189.73533325195314,0.004047037049587567
ours_v2_corner_12k,11,0,10,40.152682876586915,0.7227868328816696,20.689805603027345,0.7111811810628095,189.73888549804687,0.00512370142680092
ours_v2_corner_12k,11,1,10,39.403391647338864,0.709243289125679,20.6427640914917,0.7058878071775256,189.73772583007812,0.002555755613594566
ours_v2_corner_12k,11,2,10,38.76851959228516,0.6950391049563072,20.844721794128418,0.7044989941973593,189.73301544189454,0.004095007847414107
ours_v2_corner_12k,11,3,10,38.20679473876953,0.6770324410139125,21.09515800476074,0.6852603980321237,189.73712921142578,0.002917033923463221
ours_v2_corner_12k,11,4,10,37.7142219543457,0.6549869815843835,21.371130180358886,0.6873815048467513,189.7356750488281,0.005437483131174252
ours_v2_corner_12k,11,5,10,37.29781150817871,0.6300576220405937,21.71168632507324,0.6823634319847848,189.73604888916014,0.003711105957725091
ours_v2_corner_12k,11,6,10,36.946699905395505,0.6017229787333854,22.248217010498045,0.6651789512127368,189.7376678466797,0.00607717858965549
ours_v2_corner_12k,11,7,10,36.64597434997559,0.5724632388804556,22.974129486083985,0.7029912269463056,189.73651580810548,0.006061666258341185
ours_v2_corner_12k,11,8,10,36.36993942260742,0.5437150345963353,24.053193664550783,0.8483523473166431,189.73509674072267,0.003733717180615642
ours_v2_corner_12k,11,9,10,36.03755874633789,0.5240332012685599,26.537734603881837,0.953067202515146,189.73533325195314,0.004047037049587567
ours_v3_corner_12k,3,0,10,40.152682876586915,0.7227868328816696,22.257175064086915,0.8546674870537438,189.73788757324218,0.0038756711459384677
ours_v3_corner_12k,3,1,10,39.30027732849121,0.7067679894358391,22.088449478149414,0.8476211880524311,189.73369903564452,0.004128431966477029
ours_v3_corner_12k,3,2,10,38.57462615966797,0.6910831929262562,22.276665687561035,0.8399825008035042,189.736083984375,0.0043482301629709005
ours_v3_corner_12k,3,3,10,37.9324649810791,0.67386394860844,22.416286849975585,0.8303547265562182,189.73638153076172,0.005249508014756064
ours_v3_corner_12k,3,4,10,37.373713684082034,0.6559102271439509,22.763319969177246,0.8192137115294136,189.7371383666992,0.004773823543381262
ours_v3_corner_12k,3,5,10,36.89505462646484,0.6379867106925917,22.971002769470214,0.7993423049704373,189.73546905517577,0.00469096001441134
ours_v3_corner_12k,3,6,10,36.47686614990234,0.6218043245359333,23.605428314208986,0.7468961533395795,189.73655700683594,0.005635581263279071
ours_v3_corner_12k,3,7,10,36.10898628234863,0.6104031126794031,24.449401664733887,0.699620206880061,189.73226928710938,0.0034129719312670746
