model_name,method,phase,layer,attention_source,camera,count,max_attention_mean,max_attention_std,mean_attention_mean,mean_attention_std,std_attention_mean,std_attention_std,center_x_mean,center_x_std,center_y_mean,center_y_std,entropy_mean,entropy_std
random_corner_12k,random,initial,11,expert_cross,observation.images.camera1,6,0.008404567992935577,0.000233023418194756,0.0065468361135572195,6.121516448165052e-05,0.0006098064768593758,2.1602390717096864e-05,3.4955782781665525,0.0071800183320226444,3.5302042748468616,0.004739033275937914,4.154589017232259,0.00033384455061542974
random_corner_12k,random,initial,11,expert_cross,observation.images.camera2,6,0.009377789062758287,0.0003266320028168768,0.006671088514849544,4.4169815724551915e-05,0.0007175892824307084,3.446288121349771e-05,3.5249441106182835,0.006380591116594084,3.441709342567871,0.014979239477980775,4.153269688288371,0.0004932723425171327
uniform_corner_12k,uniform,inference_trace,3,expert_cross,"corner,gripperPOV",60,0.9999998350938161,7.4895528256777e-08,0.0777175278092424,0.023366155907332715,0.18443140735228855,0.022162482900180663,3.0728383690317806,0.5886314951455026,3.668142136704998,0.2579512982639871,2.6898519158363343,0.2770307630772502
uniform_corner_12k,uniform,inference_trace,7,expert_cross,"corner,gripperPOV",60,0.9999997685352962,1.1313984602119786e-07,0.08070225454866886,0.020670121693957374,0.17880293478568396,0.0170087559447105,3.166047011434008,0.5291248961502389,3.084713216467901,0.6457012804926685,2.932057738304138,0.31018962173285936
uniform_corner_12k,uniform,inference_trace,11,expert_cross,"corner,gripperPOV",60,0.9999995321035385,2.248248960082805e-07,0.15414486167331537,0.062386525706931165,0.19881674299637478,0.03255681105078302,3.256750928817928,0.11913386500648016,3.6153359257992026,0.4374078287110635,3.5073657194773356,0.22073807512540333
uniform_corner_12k,uniform,initial,3,expert_cross,observation.images.camera1,6,0.0326722568521897,0.009188801800064645,0.005650074919685721,0.0001746138014353615,0.005597209713111321,0.0012467122192149297,2.997209241768966,0.11205846320212204,4.048839397029951,0.13034264246252533,3.8180745442708335,0.07556425950569401
uniform_corner_12k,uniform,initial,3,expert_cross,observation.images.camera2,6,0.03452743993451198,0.008145095608366078,0.005136240118493636,0.0001610646811515267,0.005406144463146727,0.0007695326968275031,3.5996263506046184,0.04304471288658497,3.3812341132046035,0.06859621821005375,3.817774017651876,0.05239530047231093
uniform_corner_12k,uniform,initial,7,expert_cross,observation.images.camera1,6,0.020871585234999657,0.0023718911697606882,0.005358040410404404,8.891779446045564e-05,0.0035086197700972357,0.00015224722463428784,3.210529752075672,0.028217593334242553,3.345248400544127,0.04428558705611321,3.993905266125997,0.010704945323453608
uniform_corner_12k,uniform,initial,7,expert_cross,observation.images.camera2,6,0.018893935717642307,0.0027868783700647796,0.004747087679182489,0.00015504248048896585,0.0024625840596854687,0.00028988401398587487,3.6511860938432315,0.03446903383518684,3.454841307364404,0.06471757926768723,4.057603279749553,0.014564585331218773
uniform_corner_12k,uniform,initial,11,expert_cross,observation.images.camera1,6,0.008451512238631645,0.00023242229437917634,0.006471653468906879,5.0934378722572736e-05,0.0006604083755519241,3.69241855348234e-05,3.476822078383217,0.010726709482039479,3.4886433604794242,0.00640279908255323,4.153745810190837,0.0006104039419732431
uniform_corner_12k,uniform,initial,11,expert_cross,observation.images.camera2,6,0.009347235473493734,0.000203455442998434,0.006590532526994745,4.1735373824668946e-05,0.0008574221768261244,4.4268341579573434e-05,3.502920397867759,0.007924566124025301,3.5263840469221273,0.01370277396886214,4.15068515141805,0.0008733316776287361
zero_corner_12k,zero,inference_trace,3,expert_cross,"corner,gripperPOV",60,0.9999998271465301,6.127017317259024e-08,0.06954334874947866,0.018307958156341817,0.16241351688901584,0.01307497887068573,3.3945836392845203,0.3936813452229969,3.590854898959815,0.2432703011427481,2.8514280200004576,0.2923488300974866
zero_corner_12k,zero,inference_trace,7,expert_cross,"corner,gripperPOV",60,0.9999997764825821,7.968987200928293e-08,0.08579633366316557,0.018934677916570945,0.18576793919006984,0.0226898899276956,3.378890094421513,0.8178292689387944,3.3309555932443495,0.2298643039491942,2.9653125047683715,0.26371043562169655
zero_corner_12k,zero,inference_trace,11,expert_cross,"corner,gripperPOV",60,0.9999995827674866,2.2168868387164075e-07,0.11312100787957509,0.04354479192085313,0.17168804754813513,0.022204734581768765,3.164305962071891,0.2504326453242515,3.7661032303222783,0.23021495756838878,3.3702702283859254,0.2926547809321653
