method_name,position_correlation,d_bar_ratio,cluster_separation,overall_score,start_pct,end_pct,window_length_pct,weighting,cache_key,recommended
temporal_multi_window,0.01349749850860478,0.0,0.0,0.008098499105162868,0.05,0.35,0.3,uniform,5c99328faf745996fec09c960c4c4b3f,
temporal_multi_window,0.01349749850860478,0.0,0.0,0.008098499105162868,0.65,0.95,0.29999999999999993,uniform,5df3c6f9da22988afc9349dbfddbf31a,
temporal_window,0.01349508168161119,0.0,0.0,0.008097049008966713,0.25,0.45,0.2,uniform,f8900ac2ab85c1c3e06170d26600bcbc,
temporal_window,0.01344667799678411,0.03329046734739607,0.0,0.01472610026754968,0.3,0.7,0.39999999999999997,uniform,a8bb5f1b7c19be14239147b8413b21d4,
temporal_weighted_window,0.013410186332779503,3.6542534546873076e-14,0.0,0.00804611179967501,0.05,0.6,0.5499999999999999,cosine,10370227a557cf73e08e80a42ebb07d3,
temporal_weighted_window,0.013405626717076319,1.0261015415454045e-13,0.0,0.008043376030266313,0.6,0.95,0.35,cosine,097f5c9874e3991aea15cd0e48b31267,
temporal_weighted_window,0.013338478336022079,3.849421772758739e-14,0.0,0.008003087001620945,0.3,0.85,0.55,cosine,c3c1eb2002a745ed9554393cb6dc0829,
temporal_weighted_window,0.013231077274443287,0.0,0.0,0.007938646364665972,0.55,0.9,0.35,triangular,89f4bfd36aef5529c419f0775c56b3f8,
temporal_weighted_window,0.013231077274443287,0.0,0.0,0.007938646364665972,0.55,0.9,0.35,gaussian,76b6a2f3b4381259f76ea3d4422b7944,
temporal_weighted_window,0.013231077274443287,0.0,0.0,0.007938646364665972,0.1,0.45,0.35,gaussian,4fa27db1765e7eade535f656ab73cf5b,
temporal_weighted_window,0.01320869700499552,3.296042119832527e-14,0.0,0.007925218203003903,0.05,0.5,0.45,triangular,58da6f4bbe860e39ec0a354102780637,
temporal_weighted_window,0.013200943763968248,2.7168399551109743e-14,0.0,0.007920566258386382,0.2,0.75,0.55,triangular,8fb6b70aecf84f4466738392435e649d,
temporal_weighted_window,0.013188764776547578,6.97888413285865e-14,0.0,0.007913258865942505,0.05,0.5,0.45,gaussian,8032eeb9e42c42d762ea33be36fd7975,
temporal_window,0.012925989882522653,0.004676204158879296,0.0,0.00869083476128945,0.0,0.45,0.45,uniform,e2f7f0db99ffabd4032d23c4387becd5,
temporal_weighted_window,0.012851600550193415,0.0,0.0,0.007710960330116048,0.55,0.7,0.1499999999999999,triangular,522ebbc7b4053247391bebf2a474be82,
temporal_weighted_window,0.012851600550193415,0.0,0.0,0.007710960330116048,0.3,0.45,0.15000000000000002,cosine,85ed7d589f9adb5a32b833001406dd77,
temporal_weighted_window,0.012851600550193415,0.0,0.0,0.007710960330116048,0.3,0.45,0.15000000000000002,triangular,e2c7067d62f2f3d42618463a09dca477,
temporal_weighted_window,0.012851600550193415,0.0,0.0,0.007710960330116048,0.55,0.7,0.1499999999999999,cosine,d9e5332fcea3996173af3811fae9d147,
temporal_weighted_window,0.01262094536520328,4.766354550718899e-14,0.0,0.0075725672191315,0.15,0.9,0.75,triangular,e9c8eeeadf8ebe106b1a801713f457b7,
temporal_weighted_window,0.012587942001175514,1.3296198921485768e-14,0.0,0.007552765200707967,0.4,0.9,0.5,triangular,0e2cfabfcfa0070886e781e43104c72c,
temporal_weighted_window,0.012565632638987582,5.005611612687504e-14,0.0,0.0075393795834025595,0.05,0.95,0.8999999999999999,triangular,a5042f88a9fd4c833c4b868d9a2b07f1,
temporal_weighted_window,0.012554510744210889,5.059616875894587e-14,0.0,0.007532706446536652,0.05,0.75,0.7,triangular,6ac100d172fd27098bb453e27fe69b81,
temporal_multi_window,0.01252857633968753,0.03448885972415585,0.0,0.014414917748643688,0.05,0.8,0.75,uniform,fc790a80b8abc755183f07e8ed78dbc1,
temporal_multi_window,0.01252857633968753,0.03448885972415585,0.0,0.014414917748643688,0.2,0.95,0.75,uniform,356caa693805759ae25c5d6a1aadcb1b,
temporal_weighted_window,0.012506653632535504,3.184177323913265e-13,0.0,0.007503992179584986,0.05,0.4,0.35000000000000003,gaussian,d42cb47fcf0857e62ed5e8eb7ed7362d,
temporal_weighted_window,0.012500229514461836,3.73463361689311e-14,0.0,0.00750013770868457,0.1,0.85,0.75,cosine,6acbc0917324c16cce2912eb021e6157,
temporal_weighted_window,0.012426144289364902,6.998871338199558e-14,0.0,0.0074556865736329385,0.15,0.75,0.6,gaussian,fd37c4e6dbc6d513915d944481314f2e,
temporal_weighted_window,0.012271880661376492,1.5079734780996154e-13,0.0,0.007363128396856055,0.5,0.95,0.44999999999999996,gaussian,0c0323efe3471ecedd90b7d45359fcbb,
temporal_weighted_window,0.012154928888462375,1.1679937502783228e-13,0.0,0.007292957333100785,0.05,0.4,0.35000000000000003,cosine,1a5e3eba230bd86068fc8133e6fa5b38,
temporal_weighted_window,0.012029278683427003,1.0012529580195624e-13,0.0,0.007217567210076227,0.35,0.95,0.6,gaussian,292b19130c95629d87c726f7f5d1f2b6,
temporal_window,0.011998026822399645,0.0,0.0,0.0071988160934397865,0.35,0.45,0.10000000000000003,uniform,040ff111249784b4f48ac6b3428d4ac7,
temporal_weighted_window,0.011998026822399645,0.0,0.0,0.0071988160934397865,0.55,0.65,0.09999999999999998,cosine,a233fa96acaf433d14ae1181ba1979be,
temporal_window,0.011998026822399645,0.0,0.0,0.0071988160934397865,0.55,0.65,0.09999999999999998,uniform,5a495b7083cb22eff3aa709e9e58cc8e,
temporal_weighted_window,0.011998026822399645,0.0,0.0,0.0071988160934397865,0.35,0.45,0.10000000000000003,cosine,e2e14b4c5a6cbd66b170f94e079c38d7,
temporal_weighted_window,0.011998026822399645,0.0,0.0,0.0071988160934397865,0.35,0.45,0.10000000000000003,triangular,55f21aed58c6c7418f49749ce0c925d3,
temporal_weighted_window,0.011998026822399645,0.0,0.0,0.0071988160934397865,0.55,0.65,0.09999999999999998,triangular,f1167a12c1e275fcd9100b09990ecbca,
temporal_weighted_window,0.011875332046967663,7.212114602535035e-14,0.0,0.0071251992281950215,0.25,0.95,0.7,cosine,0d50c8c55182c8ea6348b9a036ae50d0,
temporal_weighted_window,0.01179106508320218,5.278435078725275e-14,0.0,0.007074639049931864,0.0,0.75,0.75,gaussian,9fcde9aa2f91dc68e46c615c6eb8c008,
temporal_weighted_window,0.011771906633308037,5.2365530967883395e-14,0.0,0.007063143979995295,0.05,0.85,0.7999999999999999,cosine,0b92025b90da8a17083c92ac6d5842e8,
