rank,method_name,position_correlation,d_bar_ratio,cluster_separation,overall_score,start_pct,end_pct,window_length_pct,weighting,cache_key
384,temporal_weighted_window,0.0283183261320646,0.0999999998403761,0.0,0.036990995647314,0.1,0.85,0.75,cosine,6acbc0917324c16cce2912eb021e6157
385,temporal_weighted_window,0.0279888310507799,0.0999999993535371,0.0,0.0367932985011753,0.35,0.95,0.6,gaussian,292b19130c95629d87c726f7f5d1f2b6
386,temporal_weighted_window,0.0279726952694493,0.09999999978686,0.0,0.0367836171190416,0.1,0.75,0.65,triangular,5033484b41bfdb42021b966f7c8a934d
387,temporal_window,0.0279525450458832,0.0658896813296487,0.0,0.0299494632934596,0.65,0.95,0.2999999999999999,uniform,01c36c1af40fb1292ba04cad5f34952f
388,temporal_weighted_window,0.0279043771834386,0.0999999818149705,0.0,0.0367426226730572,0.1,0.65,0.55,gaussian,e4948200254565ee82902711ca35b084
389,temporal_window,0.0278365965532099,0.0824722396653196,0.0,0.0331964058649899,0.7,0.85,0.15,uniform,629f3a8b8edaeb648ed565910b056b73
390,temporal_window,0.0278207736090495,0.1030153648477057,62.47909465695096,12.533114468525165,0.1,0.6,0.5,uniform,b4b5ad894efd25ab223fb3c13ea18421
391,temporal_weighted_window,0.0277871143559391,0.1000000000044335,0.0,0.0366722686144501,0.05,1.0,0.95,triangular,2a724b6a5c30ae0c462438716234fa8b
392,temporal_weighted_window,0.0277572201587527,0.099999999871632,0.0,0.036654332069578,0.1,0.8,0.7000000000000001,gaussian,670d8954c38d972e68475cb037627016
393,temporal_weighted_window,0.0274857585425645,0.0999999998398693,0.0,0.0364914550935126,0.35,0.9,0.55,triangular,3af0ec7cc3c6883196d16239cba850ab
394,temporal_weighted_window,0.0274772132251896,0.0999999998922695,0.0,0.0364863279135676,0.1,0.8,0.7000000000000001,triangular,dd518130688f432b1e8dea22e6093364
395,temporal_weighted_window,0.027472867528579,0.099999999816025,0.0,0.0364837204803524,0.3,0.8,0.5,cosine,ea8871df6f97aad71d82881502d62917
396,temporal_weighted_window,0.0274152817093019,0.0999999998495859,0.0,0.0364491689954983,0.1,0.8,0.7000000000000001,cosine,bc8ba38b992bb94d20670e92d2fdd77b
397,temporal_weighted_window,0.0273616565848984,0.0999999999086747,0.0,0.036416993932674,0.1,1.0,0.9,cosine,4eee0e8b4eaf0ddd7bffe7d66b2b3455
398,temporal_weighted_window,0.0271442336001063,0.0999999998880944,0.0,0.0362865401376826,0.15,0.9,0.75,cosine,f38d5a9e1128d436a5e8538a29de3a30
399,temporal_weighted_window,0.0271184373920325,4.86848995126539e-12,0.0,0.0162710624361932,0.5,0.95,0.4499999999999999,gaussian,0c0323efe3471ecedd90b7d45359fcbb
400,temporal_weighted_window,0.0270927068722615,0.099999999839494,0.0,0.0362556240912557,0.2,1.0,0.8,cosine,dd1b5ab6cef91e17a059adc19440a504
401,temporal_weighted_window,0.0270922520416389,0.0999999961025663,0.0,0.0362553504454966,0.1,0.6,0.5,cosine,22c49252239abb7722d6cd88a0f357e1
402,temporal_weighted_window,0.0269516437331867,0.0999999998947358,0.0,0.0361709862188592,0.25,0.95,0.7,gaussian,ad894137b2d0ef6d84c284007bd4a468
403,temporal_weighted_window,0.0268859157379259,0.0999999928501547,0.0,0.0361315480127865,0.5,0.95,0.4499999999999999,cosine,af939c7dc3190fd890f04cf12b234905
404,temporal_weighted_window,0.0268451708915538,0.099999999762368,0.0,0.0361071024874059,0.3,0.85,0.55,cosine,c3c1eb2002a745ed9554393cb6dc0829
405,temporal_weighted_window,0.0268102820789939,0.0999999993334245,0.0,0.0360861691140812,0.4,0.95,0.5499999999999999,triangular,a46f8a1e742e9cd00b5e876215493d55
406,temporal_window,0.0267949592929353,0.0056284111796126,0.0,0.0172026578116837,0.0,0.2,0.2,uniform,cf2950f708d06ab6bd6b0ee9bf404853
407,temporal_weighted_window,0.0266963021450463,0.0999999998751107,0.0,0.0360177812620499,0.2,0.95,0.75,cosine,cfa025db480fa3a9c5282ebb7099e879
408,temporal_weighted_window,0.0265839888869054,0.0999999998467892,0.0,0.0359503933015011,0.35,0.9,0.55,cosine,1b07cca594c66a709abbf072bd032af8
409,temporal_weighted_window,0.0265109941909294,0.0999999998601174,0.0,0.0359065964865811,0.2,0.9,0.7,gaussian,8bb447515f513e4ffda52510ba0c25a8
410,temporal_multi_window,0.0264937778725265,0.0,0.0,0.0158962667235159,0.05,0.2,0.15,uniform,254b8232f0cbe0ebaade5acda0081b5a
411,temporal_multi_window,0.0264937778725265,0.0,0.0,0.0158962667235159,0.8,0.95,0.1499999999999999,uniform,7a3b53e1dfed4760c375962eb9a3b617
412,temporal_window,0.0259339592092793,0.0365400642657969,0.0,0.022868388378727,0.55,0.75,0.1999999999999999,uniform,697a8767c5ad6db46a1e36b299d946e9
413,temporal_weighted_window,0.0258832974311215,0.0999999995226179,0.0,0.0355299783631965,0.45,0.95,0.4999999999999999,cosine,7b882e151995b446d2be918f3bef1282
414,temporal_weighted_window,0.0258387281808823,0.099999999964888,0.0,0.035503236901507,0.0,0.95,0.95,triangular,9ac2fb3acdee79b14b5860232dd10b2c
415,temporal_weighted_window,0.025823250471946,0.0999996078534797,0.0,0.0354938718538635,0.45,0.95,0.4999999999999999,gaussian,f6b9edf8c695567eddf12def01b61cba
416,temporal_multi_window,0.0257869340124493,0.1025945979679028,0.0,0.0359910800010501,0.05,0.75,0.7,uniform,f630cf392f6630ba7f06da60319ce661
417,temporal_window,0.0257802223538,0.1053505037848871,80.1657514946232,16.069688533093895,0.05,0.55,0.5,uniform,953c9a3b899760a5635faafdcce2e26b
418,temporal_window,0.025776693932944,0.1116706037940926,28.690143274998118,5.775828792118208,0.0,0.65,0.65,uniform,b30edc12343c748867d53e34b14632f8
419,temporal_window,0.0257237233775644,0.0,0.0,0.0154342340265386,0.8,0.9,0.0999999999999999,uniform,631b8fff4a5a81bab7ed0672a3caeb2a
420,temporal_weighted_window,0.0257237233775644,0.0,0.0,0.0154342340265386,0.8,0.9,0.0999999999999999,gaussian,60a130c405f68e924823126877b193af
421,temporal_weighted_window,0.0257237233775644,0.0,0.0,0.0154342340265386,0.8,0.9,0.0999999999999999,triangular,194c6c84ea24c76a08215cd79dc5fad3
422,temporal_weighted_window,0.0257237233775644,0.0,0.0,0.0154342340265386,0.8,0.9,0.0999999999999999,cosine,5ca3460515e49e7cf3c665b614b37c24
423,temporal_weighted_window,0.0256298288228347,0.0999999997696887,0.0,0.0353778972476386,0.3,0.75,0.45,cosine,465c7f99da7714b83b9c6d9582845051
424,temporal_weighted_window,0.0255921017196461,0.0999999995199122,0.0,0.0353552609357701,0.15,0.7,0.5499999999999999,cosine,f084a572743dee3e99dfd85589ce11f4
425,temporal_weighted_window,0.0255708325596267,0.0999999996967322,0.0,0.0353424994751224,0.05,0.65,0.6,cosine,6fd974b371131a893e0075515ee6736e
426,temporal_weighted_window,0.0255033136279576,0.0999999998569035,0.0,0.0353019881481552,0.0,0.9,0.9,cosine,d00cf947d923d282e924d6f0c3028800
427,temporal_weighted_window,0.0254650054556852,0.0999999999406768,0.0,0.0352790032615465,0.05,1.0,0.95,cosine,29fe495f40e82752a25b503e867888ce
428,temporal_weighted_window,0.025440738418271,0.0999999980622573,0.0,0.035264442663414,0.5,0.9,0.4,triangular,221ebcf3e603496c89787d290f8c0984
429,temporal_window,0.0254097080327647,0.111313863112307,11.928076263351713,2.4231238501124626,0.2,0.9,0.7,uniform,822e159e5c4eeef0b32c43d34803362a
430,temporal_weighted_window,0.0253868862108926,6.83514147468728e-14,0.0,0.0152321317265492,0.55,0.95,0.3999999999999999,gaussian,c10c8d48d60c75268a31743930620ece
431,temporal_weighted_window,0.0253558947405708,0.0999999973179819,0.0,0.0352135363079389,0.15,0.7,0.5499999999999999,gaussian,fe41b1b4acded92a0b1d243c9e7ec3dc
432,temporal_weighted_window,0.0252805283478453,0.0999999998358623,0.0,0.0351683169758796,0.2,0.85,0.6499999999999999,gaussian,031a8ab81c90f88ce6ca9bbbe8f3fd7b
433,temporal_weighted_window,0.0252750644196253,0.0999999996430449,0.0,0.0351650385803842,0.3,0.7,0.3999999999999999,triangular,e4d03dbc35d15dcc5a23874a19ac3345
434,temporal_weighted_window,0.0252491495524468,0.0,0.0,0.015149489731468,0.7,0.8,0.1,gaussian,9108adacd46e56317275817d7b96f3a9
435,temporal_weighted_window,0.0252072874235452,2.5856219232405695e-14,0.0,0.0151243724541323,0.55,0.95,0.3999999999999999,triangular,cf64b08c9201ad885eb43e11ea1cfde4
436,temporal_weighted_window,0.0251941906757972,0.0,0.0,0.0151165144054783,0.65,0.8,0.15,gaussian,4b2b6b35166068574ff9824e7e6c0486
437,temporal_weighted_window,0.0251013569315449,0.0999999998261565,0.0,0.0350608141241582,0.2,0.9,0.7,triangular,e458960766b81a8441872a0afd3e26bd
