model_name,method,camera,seed,phase,success,grasp_reached,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,language_mass,state_mass,suffix_mass,other_mass
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,initial,False,False,7,expert_cross,50,177,50,0.3450832664966583,0.3426785469055176,0.25812992453575134,0.05410825461149216,0,7.450580596923828e-09
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,initial,False,False,11,expert_cross,50,177,50,0.38614916801452637,0.4244180917739868,0.1672223061323166,0.02221042662858963,0,7.450580596923828e-09
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10043,initial,False,False,3,expert_cross,50,177,50,0.3254789710044861,0.33609044551849365,0.18666104972362518,0.15176953375339508,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10043,initial,False,False,7,expert_cross,50,177,50,0.3552173972129822,0.32195866107940674,0.2475360482931137,0.07528790086507797,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10043,initial,False,False,11,expert_cross,50,177,50,0.429117888212204,0.4200039505958557,0.1316278576850891,0.01925031840801239,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,initial,False,False,3,expert_cross,50,177,50,0.32831043004989624,0.3043202757835388,0.20197762548923492,0.16539166867733002,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,initial,False,False,7,expert_cross,50,177,50,0.3375643789768219,0.3056265413761139,0.25731009244918823,0.09949900954961777,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,initial,False,False,11,expert_cross,50,177,50,0.4168824553489685,0.4089278280735016,0.15205921232700348,0.022130487486720085,0,1.6763806343078613e-08
random_corner_12k,random,"corner,gripperPOV",10043,initial,False,False,3,expert_cross,50,177,50,0.3410188853740692,0.33084532618522644,0.174372598528862,0.15376324951648712,0,0.0
random_corner_12k,random,"corner,gripperPOV",10043,initial,False,False,7,expert_cross,50,177,50,0.3265697658061981,0.32512015104293823,0.2566305696964264,0.09167950600385666,0,7.450580596923828e-09
random_corner_12k,random,"corner,gripperPOV",10043,initial,False,False,11,expert_cross,50,177,50,0.4139595925807953,0.4284767210483551,0.1391744166612625,0.018389223143458366,0,4.6566128730773926e-08
uniform_corner_12k,uniform,"corner,gripperPOV",10043,initial,False,False,3,expert_cross,50,177,50,0.3507152199745178,0.33882811665534973,0.16898228228092194,0.14147436618804932,0,1.4901161193847656e-08
uniform_corner_12k,uniform,"corner,gripperPOV",10043,initial,False,False,7,expert_cross,50,177,50,0.3368867039680481,0.31267309188842773,0.25974327325820923,0.09069692343473434,0,7.450580596923828e-09
uniform_corner_12k,uniform,"corner,gripperPOV",10043,initial,False,False,11,expert_cross,50,177,50,0.4111443758010864,0.42095181345939636,0.14557741582393646,0.0223263930529356,0,1.862645149230957e-09
zero_corner_12k,zero,"corner,gripperPOV",10043,initial,False,False,3,expert_cross,50,177,50,0.3124071955680847,0.31302523612976074,0.19660860300064087,0.17795895040035248,0,1.4901161193847656e-08
zero_corner_12k,zero,"corner,gripperPOV",10043,initial,False,False,7,expert_cross,50,177,50,0.34241604804992676,0.3119475245475769,0.2523146867752075,0.09332168847322464,0,5.21540641784668e-08
zero_corner_12k,zero,"corner,gripperPOV",10043,initial,False,False,11,expert_cross,50,177,50,0.4109466075897217,0.4243202805519104,0.1459304541349411,0.018802691251039505,0,0.0
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10044,initial,False,False,3,expert_cross,50,177,50,0.35385140776634216,0.3217259347438812,0.17305448651313782,0.1513681411743164,0,2.9802322387695312e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10044,initial,False,False,7,expert_cross,50,177,50,0.37182918190956116,0.33085986971855164,0.24537673592567444,0.05193423852324486,0,0.0
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10044,initial,False,False,11,expert_cross,50,177,50,0.38259148597717285,0.4140166938304901,0.17202919721603394,0.031362712383270264,0,0.0
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,initial,False,False,3,expert_cross,50,177,50,0.343057781457901,0.3237644135951996,0.17742814123630524,0.15574975311756134,0,0.0
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,initial,False,False,7,expert_cross,50,177,50,0.3573799729347229,0.32688847184181213,0.2588330805301666,0.05689848214387894,0,0.0
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,initial,False,False,11,expert_cross,50,177,50,0.3858180344104767,0.4204453229904175,0.17053405940532684,0.023202594369649887,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10044,initial,False,False,3,expert_cross,50,177,50,0.3419223725795746,0.32275834679603577,0.18460488319396973,0.15071441233158112,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10044,initial,False,False,7,expert_cross,50,177,50,0.3578973710536957,0.3099706470966339,0.24929147958755493,0.08284048736095428,0,1.4901161193847656e-08
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10044,initial,False,False,11,expert_cross,50,177,50,0.4331537187099457,0.4151192903518677,0.13237424194812775,0.019352711737155914,0,3.725290298461914e-08
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,initial,False,False,3,expert_cross,50,177,50,0.3288200795650482,0.30466166138648987,0.20224910974502563,0.16426917910575867,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,initial,False,False,7,expert_cross,50,177,50,0.34072884917259216,0.29695993661880493,0.2557232975959778,0.1065879538655281,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,initial,False,False,11,expert_cross,50,177,50,0.42299795150756836,0.4043228328227997,0.15063579380512238,0.022043397650122643,0,2.421438694000244e-08
random_corner_12k,random,"corner,gripperPOV",10044,initial,False,False,3,expert_cross,50,177,50,0.3567275404930115,0.31836435198783875,0.17082491517066956,0.1540832370519638,0,0.0
random_corner_12k,random,"corner,gripperPOV",10044,initial,False,False,7,expert_cross,50,177,50,0.3342539966106415,0.31358247995376587,0.2519739270210266,0.10018963366746902,0,0.0
