camera,model_a,model_b,denoise_index,timestep,v_t_l2,v_t_cosine,x_t_l2,hidden_cosine
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,7,0.30000001192092896,13.87011432647705,0.8448747396469116,7.964297771453857,0.8772900104522705
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,8,0.20000000298023224,15.0097074508667,0.8371778130531311,9.276427268981934,0.8553245067596436
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,9,0.10000000149011612,16.97162437438965,0.8411910533905029,10.632152557373047,0.8291856050491333
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,0,1.0,11.007110595703125,0.8954100608825684,0.0,0.9234212040901184
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,1,0.8999999761581421,11.266227722167969,0.889290452003479,1.1007112264633179,0.9185195565223694
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,2,0.800000011920929,11.504079818725586,0.885461151599884,2.224976062774658,0.9136408567428589
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,3,0.699999988079071,11.808963775634766,0.8811684846878052,3.3708062171936035,0.9070478677749634
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,4,0.6000000238418579,12.152016639709473,0.8766890168190002,4.544424057006836,0.8998372554779053
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,5,0.5,12.745389938354492,0.868186354637146,5.746424198150635,0.8901413679122925
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,6,0.4000000059604645,13.377752304077148,0.8602302670478821,7.00029182434082,0.8784230947494507
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,7,0.30000001192092896,14.379486083984375,0.8474774360656738,8.29741382598877,0.8612669110298157
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,8,0.20000000298023224,16.31398582458496,0.8250508904457092,9.656917572021484,0.8385683298110962
"corner,gripperPOV",ours_v1_corner_12k,ours_v4_corner_12k,9,0.10000000149011612,18.961824417114258,0.815260648727417,11.114602088928223,0.8078619241714478
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,0,1.0,10.012165069580078,0.9048259854316711,0.0,0.9351717233657837
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,1,0.8999999761581421,10.170845985412598,0.9006146192550659,1.0012165307998657,0.9309377074241638
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,2,0.800000011920929,10.398139953613281,0.8973273038864136,2.0158379077911377,0.9262698888778687
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,3,0.699999988079071,10.546555519104004,0.8945530652999878,3.0517148971557617,0.9206244945526123
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,4,0.6000000238418579,10.71582317352295,0.892481803894043,4.098467826843262,0.9136264324188232
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,5,0.5,11.105189323425293,0.8874938488006592,5.154627323150635,0.9040283560752869
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,6,0.4000000059604645,11.536683082580566,0.8830193877220154,6.241601467132568,0.891318678855896
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,7,0.30000001192092896,12.039928436279297,0.8777176141738892,7.3483123779296875,0.8742457032203674
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,8,0.20000000298023224,13.014124870300293,0.869501531124115,8.471343994140625,0.849984347820282
"corner,gripperPOV",ours_v1_corner_12k,random_corner_12k,9,0.10000000149011612,14.192720413208008,0.8711451292037964,9.614989280700684,0.8153504729270935
